Class distribution per split:

Split 1:
Class 0: 1
Class 1: 44
Class 2: 0
Class 3: 1
Class 4: 1874
Class 5: 0
Class 6: 0
Class 7: 155
Class 8: 0
Class 9: 14

Split 2:
Class 0: 1243
Class 1: 0
Class 2: 0
Class 3: 2805
Class 4: 0
Class 5: 0
Class 6: 0
Class 7: 0
Class 8: 0
Class 9: 0

Split 3:
Class 0: 0
Class 1: 2
Class 2: 0
Class 3: 0
Class 4: 0
Class 5: 0
Class 6: 452
Class 7: 1189
Class 8: 5
Class 9: 2922

Split 4:
Class 0: 0
Class 1: 0
Class 2: 0
Class 3: 0
Class 4: 349
Class 5: 0
Class 6: 0
Class 7: 0
Class 8: 59
Class 9: 0

Split 5:
Class 0: 173
Class 1: 32
Class 2: 7
Class 3: 0
Class 4: 2468
Class 5: 0
Class 6: 0
Class 7: 0
Class 8: 118
Class 9: 339

Split 6:
Class 0: 0
Class 1: 41
Class 2: 3961
Class 3: 1384
Class 4: 0
Class 5: 2585
Class 6: 0
Class 7: 3161
Class 8: 2747
Class 9: 2517

Split 7:
Class 0: 4498
Class 1: 0
Class 2: 1969
Class 3: 0
Class 4: 530
Class 5: 52
Class 6: 2153
Class 7: 0
Class 8: 0
Class 9: 99

Split 8:
Class 0: 0
Class 1: 6484
Class 2: 19
Class 3: 571
Class 4: 606
Class 5: 567
Class 6: 4
Class 7: 7
Class 8: 2281
Class 9: 0

Split 9:
Class 0: 0
Class 1: 0
Class 2: 0
Class 3: 1367
Class 4: 12
Class 5: 1620
Class 6: 0
Class 7: 1749
Class 8: 0
Class 9: 56

Split 10:
Class 0: 8
Class 1: 139
Class 2: 2
Class 3: 3
Class 4: 3
Class 5: 597
Class 6: 3309
Class 7: 4
Class 8: 641
Class 9: 2
